config_n,config_k,instance_index,instance_seed,mzn_file,fzn_file,status,return_code,wall_time_s,AverageBacktrackAmount,AverageConflictSize,AverageLbd,AverageLearnedNogoodLength,NumUnitNogoodsLearned,failures,nodes,nogoods,peakDepth,propagations,propagators,restarts,solveTime,variables
10,5,0,42,experiments\instances\n10_k5\instance_n10_k5_0000.mzn,experiments\instances\n10_k5\instance_n10_k5_0000.fzn,ok,0,136.588,0,0,0,0,0,0,12,0,12,616,189,0,0.0001537,141
10,5,1,43,experiments\instances\n10_k5\instance_n10_k5_0001.mzn,experiments\instances\n10_k5\instance_n10_k5_0001.fzn,ok,0,0.513,0,6,6,7,0,1,16,1,15,665,199,0,0.0002716,149
10,5,2,44,experiments\instances\n10_k5\instance_n10_k5_0002.mzn,experiments\instances\n10_k5\instance_n10_k5_0002.fzn,ok,0,0.464,0,3,5.5,8,0,2,13,2,10,863,198,0,0.0002763,153
10,5,3,45,experiments\instances\n10_k5\instance_n10_k5_0003.mzn,experiments\instances\n10_k5\instance_n10_k5_0003.fzn,ok,0,0.422,0,3,9,14,0,2,23,2,21,917,193,0,0.0003424,149
10,5,4,46,experiments\instances\n10_k5\instance_n10_k5_0004.mzn,experiments\instances\n10_k5\instance_n10_k5_0004.fzn,ok,0,0.381,0,4.428571428571429,8.714285714285714,12.142857142857142,0,7,28,7,17,1270,199,0,0.0004566,149
10,7,0,42,experiments\instances\n10_k7\instance_n10_k7_0000.mzn,experiments\instances\n10_k7\instance_n10_k7_0000.fzn,ok,0,0.408,0,6,10,12.5,0,2,18,2,17,913,233,0,0.0003419,181
10,7,1,43,experiments\instances\n10_k7\instance_n10_k7_0001.mzn,experiments\instances\n10_k7\instance_n10_k7_0001.fzn,ok,0,0.397,0,0,0,0,0,0,11,0,11,757,233,0,0.0001147,181
10,7,2,44,experiments\instances\n10_k7\instance_n10_k7_0002.mzn,experiments\instances\n10_k7\instance_n10_k7_0002.fzn,ok,0,0.389,0,0,0,0,0,0,12,0,12,792,238,0,0.0001751,185
10,7,3,45,experiments\instances\n10_k7\instance_n10_k7_0003.mzn,experiments\instances\n10_k7\instance_n10_k7_0003.fzn,ok,0,0.444,0,5.2,7.2,12,0,5,28,5,19,1218,233,0,0.0004437,181
10,7,4,46,experiments\instances\n10_k7\instance_n10_k7_0004.mzn,experiments\instances\n10_k7\instance_n10_k7_0004.fzn,ok,0,0.418,0,5.75,7,14,0,4,29,4,17,1242,235,0,0.0004514,181
10,10,0,42,experiments\instances\n10_k10\instance_n10_k10_0000.mzn,experiments\instances\n10_k10\instance_n10_k10_0000.fzn,ok,0,0.404,0,2,9,15,0,1,12,1,12,903,258,0,0.0003039,201
10,10,1,43,experiments\instances\n10_k10\instance_n10_k10_0001.mzn,experiments\instances\n10_k10\instance_n10_k10_0001.fzn,ok,0,0.398,0,2,9,15,0,1,12,1,12,903,258,0,0.0003066,201
10,10,2,44,experiments\instances\n10_k10\instance_n10_k10_0002.mzn,experiments\instances\n10_k10\instance_n10_k10_0002.fzn,ok,0,0.395,0,2,9,15,0,1,12,1,12,903,258,0,0.0002691,201
10,10,3,45,experiments\instances\n10_k10\instance_n10_k10_0003.mzn,experiments\instances\n10_k10\instance_n10_k10_0003.fzn,ok,0,0.400,0,2,9,15,0,1,12,1,12,903,258,0,0.0002893,201
10,10,4,46,experiments\instances\n10_k10\instance_n10_k10_0004.mzn,experiments\instances\n10_k10\instance_n10_k10_0004.fzn,ok,0,0.397,0,2,9,15,0,1,12,1,12,903,258,0,0.0003607,201
20,5,0,42,experiments\instances\n20_k5\instance_n20_k5_0000.mzn,experiments\instances\n20_k5\instance_n20_k5_0000.fzn,ok,0,0.437,0,6.8631090487238975,14.878190255220417,26.230858468677493,0,862,1333,862,45,109735,419,0,0.0487775,305
20,5,1,43,experiments\instances\n20_k5\instance_n20_k5_0001.mzn,experiments\instances\n20_k5\instance_n20_k5_0001.fzn,ok,0,0.513,0,7.67905604719764,14.631858407079646,22.21710914454277,0,1695,3048,1695,48,239649,416,0,0.1215133,301
20,5,2,44,experiments\instances\n20_k5\instance_n20_k5_0002.mzn,experiments\instances\n20_k5\instance_n20_k5_0002.fzn,ok,0,0.399,0,5.625,11.305555555555555,17.27777777777778,0,72,132,72,28,10321,383,0,0.0030967,281
20,5,3,45,experiments\instances\n20_k5\instance_n20_k5_0003.mzn,experiments\instances\n20_k5\instance_n20_k5_0003.fzn,ok,0,0.425,0,5.155339805825243,12.262135922330097,17.684466019417474,0,206,399,206,37,28408,392,0,0.0102138,285
20,5,4,46,experiments\instances\n20_k5\instance_n20_k5_0004.mzn,experiments\instances\n20_k5\instance_n20_k5_0004.fzn,ok,0,0.619,0,10.072339382050025,14.240068661108387,25.691025012260912,1,4078,5359,4078,44,422456,401,0,0.2376841,289
20,7,0,42,experiments\instances\n20_k7\instance_n20_k7_0000.mzn,experiments\instances\n20_k7\instance_n20_k7_0000.fzn,ok,0,0.406,0,4.304347826086956,11.652173913043478,20.695652173913043,0,23,77,23,33,6071,497,0,0.0020647,369
20,7,1,43,experiments\instances\n20_k7\instance_n20_k7_0001.mzn,experiments\instances\n20_k7\instance_n20_k7_0001.fzn,ok,0,0.428,0,6.858187134502924,19.707602339181285,30.748538011695906,0,684,998,684,48,145565,542,0,0.0451579,405
20,7,2,44,experiments\instances\n20_k7\instance_n20_k7_0002.mzn,experiments\instances\n20_k7\instance_n20_k7_0002.fzn,ok,0,0.390,0,4,13.11111111111111,24.77777777777778,0,9,60,9,42,3762,508,0,0.0009559,381
20,7,3,45,experiments\instances\n20_k7\instance_n20_k7_0003.mzn,experiments\instances\n20_k7\instance_n20_k7_0003.fzn,ok,0,0.393,0,3.5454545454545454,8.181818181818182,14.818181818181818,0,11,42,11,30,3125,479,0,0.000861,361
20,7,4,46,experiments\instances\n20_k7\instance_n20_k7_0004.mzn,experiments\instances\n20_k7\instance_n20_k7_0004.fzn,ok,0,0.381,0,5.282051282051282,11.153846153846153,20.05128205128205,0,39,102,39,36,6970,490,0,0.0020682,365
20,10,0,42,experiments\instances\n20_k10\instance_n20_k10_0000.mzn,experiments\instances\n20_k10\instance_n20_k10_0000.fzn,ok,0,0.439,0,9.927536231884059,21.50966183574879,44.03864734299517,0,414,575,414,48,75787,660,0,0.0331693,509
20,10,1,43,experiments\instances\n20_k10\instance_n20_k10_0001.mzn,experiments\instances\n20_k10\instance_n20_k10_0001.fzn,ok,0,0.438,0,8,16.53846153846154,39.73076923076923,0,26,64,26,32,9296,691,0,0.0034843,529
20,10,2,44,experiments\instances\n20_k10\instance_n20_k10_0002.mzn,experiments\instances\n20_k10\instance_n20_k10_0002.fzn,ok,0,0.404,0,7.653846153846154,12.615384615384615,21.884615384615383,0,26,66,26,27,6734,668,0,0.0024365,525
20,10,3,45,experiments\instances\n20_k10\instance_n20_k10_0003.mzn,experiments\instances\n20_k10\instance_n20_k10_0003.fzn,ok,0,0.442,0,7.217391304347826,18.347826086956523,35.13913043478261,0,115,289,115,43,21683,628,0,0.0072219,493
20,10,4,46,experiments\instances\n20_k10\instance_n20_k10_0004.mzn,experiments\instances\n20_k10\instance_n20_k10_0004.fzn,ok,0,0.375,0,0,0,0,0,0,41,0,41,2380,651,0,0.000291,497
30,5,0,42,experiments\instances\n30_k5\instance_n30_k5_0000.mzn,experiments\instances\n30_k5\instance_n30_k5_0000.fzn,ok,0,0.900,0,8.47827661115134,16.46451846488052,28.180304127443883,0,5524,8679,5524,51,897274,641,0,0.501345,461
30,5,1,43,experiments\instances\n30_k5\instance_n30_k5_0001.mzn,experiments\instances\n30_k5\instance_n30_k5_0001.fzn,ok,0,0.766,0,9.610474631751227,15.06242693476736,28.563712882861818,0,4277,6012,4277,51,627326,622,0,0.3381533,449
30,5,2,44,experiments\instances\n30_k5\instance_n30_k5_0002.mzn,experiments\instances\n30_k5\instance_n30_k5_0002.fzn,ok,0,0.745,0,9.085144927536232,16.90812629399586,29.1601966873706,0,3864,6635,3864,63,569832,612,0,0.2984862,441
30,5,3,45,experiments\instances\n30_k5\instance_n30_k5_0003.mzn,experiments\instances\n30_k5\instance_n30_k5_0003.fzn,ok,0,0.667,0,9.233828059367124,17.087090450854102,28.01792215065808,2,3571,5938,3571,73,466055,614,0,0.2451207,441
30,5,4,46,experiments\instances\n30_k5\instance_n30_k5_0004.mzn,experiments\instances\n30_k5\instance_n30_k5_0004.fzn,ok,0,0.491,0,5.074468085106383,8.98404255319149,14.191489361702128,0,188,334,188,40,23947,621,0,0.0076178,445
30,7,0,42,experiments\instances\n30_k7\instance_n30_k7_0000.mzn,experiments\instances\n30_k7\instance_n30_k7_0000.fzn,ok,0,0.476,0,7.3428571428571425,19.13015873015873,36.80952380952381,0,315,619,315,62,72644,812,0,0.0281068,601
30,7,1,43,experiments\instances\n30_k7\instance_n30_k7_0001.mzn,experiments\instances\n30_k7\instance_n30_k7_0001.fzn,ok,0,0.474,0,8.85029239766082,19.876023391812865,35.85730994152047,0,855,1415,855,69,133514,782,0,0.0582702,577
30,7,2,44,experiments\instances\n30_k7\instance_n30_k7_0002.mzn,experiments\instances\n30_k7\instance_n30_k7_0002.fzn,ok,0,0.458,0,7.496263079222721,19.391629297458895,32.110612855007474,0,669,958,669,64,152468,786,0,0.0473716,585
30,7,3,45,experiments\instances\n30_k7\instance_n30_k7_0003.mzn,experiments\instances\n30_k7\instance_n30_k7_0003.fzn,ok,0,0.418,0,4.363636363636363,12.545454545454545,16.454545454545453,0,11,62,11,46,6270,771,0,0.0015219,573
30,7,4,46,experiments\instances\n30_k7\instance_n30_k7_0004.mzn,experiments\instances\n30_k7\instance_n30_k7_0004.fzn,ok,0,0.478,0,6.815366972477064,15.238532110091743,25.142201834862384,0,872,1700,872,75,158446,787,0,0.0520917,581
30,10,0,42,experiments\instances\n30_k10\instance_n30_k10_0000.mzn,experiments\instances\n30_k10\instance_n30_k10_0000.fzn,ok,0,0.464,0,7.296296296296297,17.77777777777778,37.44444444444444,0,27,103,27,58,12210,1026,0,0.0032512,777
